run_id,strategy,duration_sec,duration_human,ok,scored,score_present,failure_category,missing_score_reason,exit_code
run_001,direct_json_ir_translate,72.65,1.2m,True,True,True,completed,,0
run_001,direct_json_ir_no_translate,52.75,52.8s,True,True,True,completed,,0
run_001,le_json_ir_translate,86.55,1.4m,False,False,False,law_compilation,law_compilation_failed,1
run_001,le_json_ir_no_translate,64.86,1.1m,True,True,True,completed,,0
run_002,direct_json_ir_translate,106.25,1.8m,True,True,True,completed,,0
run_002,direct_json_ir_no_translate,67.49,1.1m,True,True,True,completed,,0
run_002,le_json_ir_translate,231.96,3.9m,True,True,True,completed,,0
run_002,le_json_ir_no_translate,151.75,2.5m,True,True,True,completed,,0
run_003,direct_json_ir_translate,109.08,1.8m,True,True,True,completed,,0
run_003,direct_json_ir_no_translate,76.06,1.3m,False,False,False,law_compilation,law_compilation_failed,1
run_003,le_json_ir_translate,54.78,54.8s,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_003,le_json_ir_no_translate,58.58,58.6s,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_004,direct_json_ir_translate,84.59,1.4m,False,True,True,completed_with_errors,,0
run_004,direct_json_ir_no_translate,57.89,57.9s,False,True,True,completed_with_errors,,0
run_004,le_json_ir_translate,98.32,1.6m,False,True,True,completed_with_errors,,0
run_004,le_json_ir_no_translate,65.26,1.1m,False,True,True,completed_with_errors,,0
run_005,direct_json_ir_translate,93.27,1.6m,True,True,True,completed,,0
run_005,direct_json_ir_no_translate,90.5,1.5m,True,True,True,completed,,0
run_005,le_json_ir_translate,211.64,3.5m,True,True,True,completed,,0
run_005,le_json_ir_no_translate,164.14,2.7m,True,True,True,completed,,0
run_006,direct_json_ir_translate,79.22,1.3m,False,False,False,process_error,main_exited_before_scoring,1
run_006,direct_json_ir_no_translate,44.9,44.9s,True,True,True,completed,,0
run_006,le_json_ir_translate,128.92,2.1m,False,False,False,law_compilation,law_compilation_failed,1
run_006,le_json_ir_no_translate,54.47,54.5s,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_007,direct_json_ir_translate,57.84,57.8s,True,True,True,completed,,0
run_007,direct_json_ir_no_translate,36.93,36.9s,True,True,True,completed,,0
run_007,le_json_ir_translate,75.08,1.3m,True,True,True,completed,,0
run_007,le_json_ir_no_translate,48.94,48.9s,True,True,True,completed,,0
run_008,direct_json_ir_translate,121.44,2.0m,True,True,True,completed,,0
run_008,direct_json_ir_no_translate,67.82,1.1m,False,True,True,completed_with_errors,,0
run_008,le_json_ir_translate,215.18,3.6m,True,True,True,completed,,0
run_008,le_json_ir_no_translate,129.55,2.2m,False,False,False,law_compilation,law_compilation_failed,1
run_009,direct_json_ir_translate,60.01,1.0m,True,True,True,completed,,0
run_009,direct_json_ir_no_translate,37.2,37.2s,True,True,True,completed,,0
run_009,le_json_ir_translate,77.9,1.3m,True,True,True,completed,,0
run_009,le_json_ir_no_translate,42.01,42.0s,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_101,direct_json_ir_translate,48.38,48.4s,True,True,True,completed,,0
run_101,direct_json_ir_no_translate,27.08,27.1s,True,True,True,completed,,0
run_101,le_json_ir_translate,63.53,1.1m,True,True,True,completed,,0
run_101,le_json_ir_no_translate,26.91,26.9s,True,True,True,completed,,0
run_102,direct_json_ir_translate,121.88,2.0m,False,True,True,completed_with_errors,,0
