run_id,strategy,duration_sec,duration_human,ok,scored,score_present,failure_category,missing_score_reason,exit_code
run_001,direct_json_ir_no_translate,46.73,46.7s,True,True,True,completed,,0
run_002,direct_json_ir_no_translate,99.35,1.7m,True,True,True,completed,,0
run_003,direct_json_ir_no_translate,56.34,56.3s,True,True,True,completed,,0
run_004,direct_json_ir_no_translate,73.42,1.2m,False,True,True,completed_with_errors,,0
run_005,direct_json_ir_no_translate,98.38,1.6m,True,True,True,completed,,0
run_006,direct_json_ir_no_translate,44.43,44.4s,True,True,True,completed,,0
run_007,direct_json_ir_no_translate,43.6,43.6s,True,True,True,completed,,0
run_008,direct_json_ir_no_translate,54.88,54.9s,True,True,True,completed,,0
run_009,direct_json_ir_no_translate,42.2,42.2s,True,True,True,completed,,0
run_101,direct_json_ir_no_translate,25.16,25.2s,True,True,True,completed,,0
run_102,direct_json_ir_no_translate,61.1,1.0m,False,True,True,completed_with_errors,,0
run_103,direct_json_ir_no_translate,26.49,26.5s,True,True,True,completed,,0
run_104,direct_json_ir_no_translate,36.13,36.1s,True,True,True,completed,,0
run_105,direct_json_ir_no_translate,26.68,26.7s,True,True,True,completed,,0
run_106,direct_json_ir_no_translate,26.72,26.7s,True,True,True,completed,,0
run_107,direct_json_ir_no_translate,65.83,1.1m,True,True,True,completed,,0
run_108,direct_json_ir_no_translate,66.4,1.1m,False,False,False,law_compilation,law_compilation_failed,1
run_109,direct_json_ir_no_translate,67.28,1.1m,False,False,False,law_compilation,law_compilation_failed,1
run_110,direct_json_ir_no_translate,144.34,2.4m,True,True,True,completed,,0
run_111,direct_json_ir_no_translate,66.37,1.1m,True,True,True,completed,,0
run_112,direct_json_ir_no_translate,100.85,1.7m,True,True,True,completed,,0
run_113,direct_json_ir_no_translate,42.5,42.5s,True,True,True,completed,,0
run_114,direct_json_ir_no_translate,39.24,39.2s,True,True,True,completed,,0
run_115,direct_json_ir_no_translate,44.72,44.7s,True,True,True,completed,,0
run_116,direct_json_ir_no_translate,36.68,36.7s,False,False,False,law_compilation,law_compilation_failed,1
run_117,direct_json_ir_no_translate,46.14,46.1s,True,True,True,completed,,0
run_118,direct_json_ir_no_translate,49.67,49.7s,False,False,False,law_compilation,law_compilation_failed,1
run_119,direct_json_ir_no_translate,61.18,1.0m,True,True,True,completed,,0
run_120,direct_json_ir_no_translate,45.76,45.8s,True,True,True,completed,,0
run_201,direct_json_ir_no_translate,25.9,25.9s,True,True,True,completed,,0
run_202,direct_json_ir_no_translate,30.02,30.0s,True,True,True,completed,,0
run_203,direct_json_ir_no_translate,69.36,1.2m,True,True,True,completed,,0
run_204,direct_json_ir_no_translate,67.71,1.1m,True,True,True,completed,,0
run_205,direct_json_ir_no_translate,39.21,39.2s,False,False,False,law_compilation,law_compilation_failed,1
run_206,direct_json_ir_no_translate,38.1,38.1s,False,False,False,law_compilation,law_compilation_failed,1
run_207,direct_json_ir_no_translate,26.04,26.0s,True,True,True,completed,,0
run_208,direct_json_ir_no_translate,37.78,37.8s,True,True,True,completed,,0
