metric,value
cells_total,37
scored_cells,35
evaluation_no_score_cells,0
completed_no_score_cells,0
evaluation_bad_score_cells,0
law_compilation_cells,2
other_failure_cells,0
accuracy_decisive_over_scored,0.9473684210526315
llm_eval_call_count,191
llm_estimated_total_cost_usd,

run_id,direct_json_ir_no_translate
accuracy_decisive (scored cells only)
run_001,1.0
run_002,0.0
run_003,0.0
run_004,completed_with_errors
run_005,1.0
run_006,1.0
run_007,1.0
run_008,0.0
run_009,1.0
run_101,1.0
run_102,completed_with_errors
run_103,1.0
run_104,1.0
run_105,0.0
run_106,1.0
run_107,1.0
run_108,0.0
run_109,1.0
run_110,1.0
run_111,0.0
run_112,0.0
run_113,0.0
run_114,1.0
run_115,law_compilation
run_116,0.0
run_117,law_compilation
run_118,1.0
run_119,0.0
run_120,1.0
run_201,1.0
run_202,0.0
run_203,0.0
run_204,0.0
run_205,0.0
run_206,1.0
run_207,0.0
run_208,1.0

failure_category (same run order)
run_id,direct_json_ir_no_translate
run_001,completed
run_002,completed
run_003,completed
run_004,completed_with_errors
run_005,completed
run_006,completed
run_007,completed
run_008,completed
run_009,completed
run_101,completed
run_102,completed_with_errors
run_103,completed
run_104,completed
run_105,completed
run_106,completed
run_107,completed
run_108,completed
run_109,completed
run_110,completed
run_111,completed
run_112,completed
run_113,completed
run_114,completed
run_115,law_compilation
run_116,completed
run_117,law_compilation
run_118,completed
run_119,completed
run_120,completed
run_201,completed
run_202,completed
run_203,completed
run_204,completed
run_205,completed
run_206,completed
run_207,completed
run_208,completed

score_present
run_id,direct_json_ir_no_translate
run_001,True
run_002,True
run_003,True
run_004,True
run_005,True
run_006,True
run_007,True
run_008,True
run_009,True
run_101,True
run_102,True
run_103,True
run_104,True
run_105,True
run_106,True
run_107,True
run_108,True
run_109,True
run_110,True
run_111,True
run_112,True
run_113,True
run_114,True
run_115,False
run_116,True
run_117,False
run_118,True
run_119,True
run_120,True
run_201,True
run_202,True
run_203,True
run_204,True
run_205,True
run_206,True
run_207,True
run_208,True

missing_score_reason
run_id,direct_json_ir_no_translate
run_001,
run_002,
run_003,
run_004,
run_005,
run_006,
run_007,
run_008,
run_009,
run_101,
run_102,
run_103,
run_104,
run_105,
run_106,
run_107,
run_108,
run_109,
run_110,
run_111,
run_112,
run_113,
run_114,
run_115,law_compilation_failed
run_116,
run_117,law_compilation_failed
run_118,
run_119,
run_120,
run_201,
run_202,
run_203,
run_204,
run_205,
run_206,
run_207,
run_208,
