run_id,answer_type,law_source,exit_code,pipeline_status,error_stage,query_type,internal_intent,query_predicate,symbolic_status,output_kind,certainty_class,natural_language,explanation,gold_expected,work_dir
nb_001,legal_effect,erfrecht_clean.txt,0,ok,,propagation,propagation,,error,unknown,,Symbolic reasoning error: explain target requires predicate and args,,Anna verkrijgt het vruchtgebruik van de gehele nalatenschap.,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_001
nb_002,legal_effect_list,erfrecht_clean.txt,0,ok,,propagation,propagation,,error,unknown,,Symbolic reasoning error: explain target requires predicate and args,,David verkrijgt de volle eigendom van Clara’s deel in het gemeenschappelijk vermogen en het vruchtgebruik van de overige goederen van Clara’s eigen vermogen.,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_002
nb_003,legal_effect,erfrecht_clean.txt,0,ok,,predicate_boolean,deduction,acquires_full_ownership_of_entire_estate,ok,epistemic_boolean,decisive,"Yes. Felix, Emma: The surviving spouse (first person) acquires full ownership of the entire estate of the deceased (second person).",,Felix verkrijgt de volle eigendom van de gehele nalatenschap.,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_003
nb_004,legal_effect_list,erfrecht_clean.txt,0,ok,,propagation,propagation,,error,unknown,,Symbolic reasoning error: explain target requires predicate and args,,Het vruchtgebruik heeft betrekking op het onroerend goed dat als voornaamste gezinswoning diende en op het daarin aanwezige huisraad.,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_004
nb_005,legal_effect,erfrecht_clean.txt,0,ok,,predicate_boolean,deduction,acquires_exclusive_right_to_lease,ok,epistemic_boolean,decisive,"Yes. Jonas, Huurwoning: The person acquires the exclusive right to the lease of the property, to the exclusion of all other heirs, as the surviving spouse.",,"De langstlevende echtgenoot Jonas verkrijgt als enige, met uitsluiting van alle andere erfgenamen, het recht op de huur.",C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_005
nb_006,threshold_list,microvennootschappen_clean.txt,0,ok,,relevance,relevance,,error,unknown,,Symbolic reasoning error: explain target requires predicate and args,,Jaargemiddelde werknemers: 50; jaarlijkse netto-omzet exclusief btw: 11.250.000 euro; balanstotaal: 6.000.000 euro.,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_006
nb_007,classification,microvennootschappen_clean.txt,0,ok,,propagation,propagation,,error,unknown,,Symbolic reasoning error: explain target requires predicate and args,,BV Beta kwalificeert als microvennootschap.,C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_007
nb_008,period,microvennootschappen_clean.txt,0,ok,,propagation,propagation,,error,unknown,,Symbolic reasoning error: explain target requires predicate and args,,"Er moet meteen rekening mee worden gehouden voor het eerste boekjaar, dus boekjaar 2026.",C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_008
nb_009,numeric_amount,microvennootschappen_clean.txt,1,no_results_json,,,,,,,,,,"16.875.000 euro, namelijk 11.250.000 × 18/12.",C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_009
nb_010,period,microvennootschappen_clean.txt,0,ok,,predicate_boolean,deduction,loses_kleine_vennootschap_status_from,ok,epistemic_boolean,decisive,"Yes. Nv_epsilon, Fy_2026: The company loses kleine vennootschap status starting from this financial year due to exceeding more than one criterion for two consecutive years.",,"Vanaf boekjaar 2026, het boekjaar dat volgt op het boekjaar waarin de criteria voor de tweede keer werden overschreden.",C:\Users\bramd\Documents\VUB\Master Thesis\Legal-pipeline\results\final\explain_questions\work\nb_010
