metric,value
cells_total,37
scored_cells,25
evaluation_no_score_cells,0
completed_no_score_cells,0
evaluation_bad_score_cells,0
law_compilation_cells,2
other_failure_cells,10
accuracy_decisive_over_scored,1.0
llm_eval_call_count,180
llm_estimated_total_cost_usd,

run_id,direct_json_ir_no_translate
accuracy_decisive (scored cells only)
run_001,1.0
run_002,kb_idp_parse
run_003,law_compilation
run_004,0.0
run_005,kb_idp_parse
run_006,kb_idp_parse
run_007,1.0
run_008,kb_idp_parse
run_009,1.0
run_101,1.0
run_102,completed_with_errors
run_103,0.0
run_104,completed_with_errors
run_105,0.0
run_106,1.0
run_107,kb_idp_parse
run_108,1.0
run_109,kb_idp_parse
run_110,1.0
run_111,kb_idp_parse
run_112,kb_idp_parse
run_113,0.0
run_114,1.0
run_115,0.0
run_116,law_compilation
run_117,0.0
run_118,0.0
run_119,1.0
run_120,0.0
run_201,1.0
run_202,0.0
run_203,kb_idp_parse
run_204,kb_idp_parse
run_205,0.0
run_206,1.0
run_207,0.0
run_208,1.0

failure_category (same run order)
run_id,direct_json_ir_no_translate
run_001,completed
run_002,kb_idp_parse
run_003,law_compilation
run_004,completed
run_005,kb_idp_parse
run_006,kb_idp_parse
run_007,completed
run_008,kb_idp_parse
run_009,completed
run_101,completed
run_102,completed_with_errors
run_103,completed
run_104,completed_with_errors
run_105,completed
run_106,completed
run_107,kb_idp_parse
run_108,completed
run_109,kb_idp_parse
run_110,completed
run_111,kb_idp_parse
run_112,kb_idp_parse
run_113,completed
run_114,completed
run_115,completed
run_116,law_compilation
run_117,completed
run_118,completed
run_119,completed
run_120,completed
run_201,completed
run_202,completed
run_203,kb_idp_parse
run_204,kb_idp_parse
run_205,completed
run_206,completed
run_207,completed
run_208,completed

score_present
run_id,direct_json_ir_no_translate
run_001,True
run_002,False
run_003,False
run_004,True
run_005,False
run_006,False
run_007,True
run_008,False
run_009,True
run_101,True
run_102,True
run_103,True
run_104,True
run_105,True
run_106,True
run_107,False
run_108,True
run_109,False
run_110,True
run_111,False
run_112,False
run_113,True
run_114,True
run_115,True
run_116,False
run_117,True
run_118,True
run_119,True
run_120,True
run_201,True
run_202,True
run_203,False
run_204,False
run_205,True
run_206,True
run_207,True
run_208,True

missing_score_reason
run_id,direct_json_ir_no_translate
run_001,
run_002,main_exited_before_scoring
run_003,law_compilation_failed
run_004,
run_005,main_exited_before_scoring
run_006,main_exited_before_scoring
run_007,
run_008,main_exited_before_scoring
run_009,
run_101,
run_102,
run_103,
run_104,
run_105,
run_106,
run_107,main_exited_before_scoring
run_108,
run_109,main_exited_before_scoring
run_110,
run_111,main_exited_before_scoring
run_112,main_exited_before_scoring
run_113,
run_114,
run_115,
run_116,law_compilation_failed
run_117,
run_118,
run_119,
run_120,
run_201,
run_202,
run_203,main_exited_before_scoring
run_204,main_exited_before_scoring
run_205,
run_206,
run_207,
run_208,
