run_id,strategy,duration_sec,duration_human,ok,scored,score_present,failure_category,missing_score_reason,exit_code
run_001,direct_json_ir_no_translate,114.96,1.9m,True,True,True,completed,,0
run_002,direct_json_ir_no_translate,154.34,2.6m,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_003,direct_json_ir_no_translate,137.03,2.3m,False,False,False,law_compilation,law_compilation_failed,1
run_004,direct_json_ir_no_translate,141.71,2.4m,True,True,True,completed,,0
run_005,direct_json_ir_no_translate,149.02,2.5m,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_006,direct_json_ir_no_translate,158.92,2.6m,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_007,direct_json_ir_no_translate,99.61,1.7m,True,True,True,completed,,0
run_008,direct_json_ir_no_translate,223.76,3.7m,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_009,direct_json_ir_no_translate,76.81,1.3m,True,True,True,completed,,0
run_101,direct_json_ir_no_translate,49.36,49.4s,True,True,True,completed,,0
run_102,direct_json_ir_no_translate,234.13,3.9m,False,True,True,completed_with_errors,,0
run_103,direct_json_ir_no_translate,73.29,1.2m,True,True,True,completed,,0
run_104,direct_json_ir_no_translate,295.89,4.9m,False,True,True,completed_with_errors,,0
run_105,direct_json_ir_no_translate,42.01,42.0s,True,True,True,completed,,0
run_106,direct_json_ir_no_translate,83.77,1.4m,True,True,True,completed,,0
run_107,direct_json_ir_no_translate,222.54,3.7m,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_108,direct_json_ir_no_translate,209.63,3.5m,True,True,True,completed,,0
run_109,direct_json_ir_no_translate,154.76,2.6m,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_110,direct_json_ir_no_translate,221.85,3.7m,True,True,True,completed,,0
run_111,direct_json_ir_no_translate,181.88,3.0m,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_112,direct_json_ir_no_translate,176.21,2.9m,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_113,direct_json_ir_no_translate,122.08,2.0m,True,True,True,completed,,0
run_114,direct_json_ir_no_translate,114.55,1.9m,True,True,True,completed,,0
run_115,direct_json_ir_no_translate,141.64,2.4m,True,True,True,completed,,0
run_116,direct_json_ir_no_translate,109.65,1.8m,False,False,False,law_compilation,law_compilation_failed,1
run_117,direct_json_ir_no_translate,187.06,3.1m,True,True,True,completed,,0
run_118,direct_json_ir_no_translate,215.23,3.6m,True,True,True,completed,,0
run_119,direct_json_ir_no_translate,159.18,2.7m,True,True,True,completed,,0
run_120,direct_json_ir_no_translate,173.28,2.9m,True,True,True,completed,,0
run_201,direct_json_ir_no_translate,49.93,49.9s,True,True,True,completed,,0
run_202,direct_json_ir_no_translate,68.34,1.1m,True,True,True,completed,,0
run_203,direct_json_ir_no_translate,190.31,3.2m,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_204,direct_json_ir_no_translate,188.2,3.1m,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_205,direct_json_ir_no_translate,87.14,1.5m,True,True,True,completed,,0
run_206,direct_json_ir_no_translate,79.69,1.3m,True,True,True,completed,,0
run_207,direct_json_ir_no_translate,93.95,1.6m,True,True,True,completed,,0
run_208,direct_json_ir_no_translate,126.23,2.1m,True,True,True,completed,,0
