run_id,strategy,duration_sec,duration_human,ok,scored,score_present,failure_category,missing_score_reason,exit_code
run_001,direct_json_ir_no_translate,180.3,3.0m,True,True,True,completed,,0
run_002,direct_json_ir_no_translate,112.77,1.9m,False,False,False,law_compilation,law_compilation_failed,1
run_003,direct_json_ir_no_translate,191.07,3.2m,True,True,True,completed,,0
run_004,direct_json_ir_no_translate,204.47,3.4m,False,True,True,completed_with_errors,,0
run_005,direct_json_ir_no_translate,238.27,4.0m,False,False,False,law_compilation,law_compilation_failed,1
run_006,direct_json_ir_no_translate,290.71,4.8m,False,False,False,kb_idp_parse,main_exited_before_scoring,1
run_007,direct_json_ir_no_translate,104.43,1.7m,True,True,True,completed,,0
run_008,direct_json_ir_no_translate,524.23,8.7m,False,False,False,law_compilation,law_compilation_failed,1
run_009,direct_json_ir_no_translate,155.7,2.6m,True,True,True,completed,,0
run_101,direct_json_ir_no_translate,76.24,1.3m,True,True,True,completed,,0
run_102,direct_json_ir_no_translate,215.96,3.6m,True,True,True,completed,,0
run_103,direct_json_ir_no_translate,94.22,1.6m,True,True,True,completed,,0
run_104,direct_json_ir_no_translate,153.18,2.6m,True,True,True,completed,,0
run_105,direct_json_ir_no_translate,59.26,59.3s,True,True,True,completed,,0
run_106,direct_json_ir_no_translate,78.22,1.3m,True,True,True,completed,,0
run_107,direct_json_ir_no_translate,426.56,7.1m,True,True,True,completed,,0
run_108,direct_json_ir_no_translate,211.36,3.5m,False,False,False,law_compilation,law_compilation_failed,1
run_109,direct_json_ir_no_translate,222.74,3.7m,False,False,False,law_compilation,law_compilation_failed,1
run_110,direct_json_ir_no_translate,193.82,3.2m,False,False,False,law_compilation,law_compilation_failed,1
run_111,direct_json_ir_no_translate,377.03,6.3m,True,True,True,completed,,0
run_112,direct_json_ir_no_translate,205.12,3.4m,False,False,False,law_compilation,law_compilation_failed,1
run_113,direct_json_ir_no_translate,115.3,1.9m,True,True,True,completed,,0
run_114,direct_json_ir_no_translate,167.62,2.8m,True,True,True,completed,,0
run_115,direct_json_ir_no_translate,169.63,2.8m,True,True,True,completed,,0
run_116,direct_json_ir_no_translate,210.97,3.5m,True,True,True,completed,,0
run_117,direct_json_ir_no_translate,175.95,2.9m,False,False,False,law_compilation,law_compilation_failed,1
run_118,direct_json_ir_no_translate,184.71,3.1m,False,False,False,law_compilation,law_compilation_failed,1
run_119,direct_json_ir_no_translate,311.28,5.2m,True,True,True,completed,,0
run_120,direct_json_ir_no_translate,407.61,6.8m,False,False,False,law_compilation,law_compilation_failed,1
run_201,direct_json_ir_no_translate,64.89,1.1m,True,True,True,completed,,0
run_202,direct_json_ir_no_translate,79.56,1.3m,True,True,True,completed,,0
run_203,direct_json_ir_no_translate,224.93,3.7m,False,False,False,law_compilation,law_compilation_failed,1
run_204,direct_json_ir_no_translate,269.0,4.5m,True,True,True,completed,,0
run_205,direct_json_ir_no_translate,155.83,2.6m,True,True,True,completed,,0
run_206,direct_json_ir_no_translate,182.56,3.0m,False,False,False,law_compilation,law_compilation_failed,1
run_207,direct_json_ir_no_translate,85.41,1.4m,True,True,True,completed,,0
run_208,direct_json_ir_no_translate,166.37,2.8m,True,True,True,completed,,0
