metric,value
cells_total,37
scored_cells,24
evaluation_no_score_cells,0
completed_no_score_cells,0
evaluation_bad_score_cells,0
law_compilation_cells,12
other_failure_cells,1
accuracy_decisive_over_scored,0.9166666666666666
llm_eval_call_count,180
llm_estimated_total_cost_usd,

run_id,direct_json_ir_no_translate
accuracy_decisive (scored cells only)
run_001,0.0
run_002,law_compilation
run_003,0.0
run_004,completed_with_errors
run_005,law_compilation
run_006,kb_idp_parse
run_007,1.0
run_008,law_compilation
run_009,1.0
run_101,1.0
run_102,0.0
run_103,1.0
run_104,1.0
run_105,0.0
run_106,1.0
run_107,1.0
run_108,law_compilation
run_109,law_compilation
run_110,law_compilation
run_111,0.0
run_112,law_compilation
run_113,0.0
run_114,1.0
run_115,0.0
run_116,0.0
run_117,law_compilation
run_118,law_compilation
run_119,0.0
run_120,law_compilation
run_201,1.0
run_202,0.0
run_203,law_compilation
run_204,0.0
run_205,0.0
run_206,law_compilation
run_207,1.0
run_208,1.0

failure_category (same run order)
run_id,direct_json_ir_no_translate
run_001,completed
run_002,law_compilation
run_003,completed
run_004,completed_with_errors
run_005,law_compilation
run_006,kb_idp_parse
run_007,completed
run_008,law_compilation
run_009,completed
run_101,completed
run_102,completed
run_103,completed
run_104,completed
run_105,completed
run_106,completed
run_107,completed
run_108,law_compilation
run_109,law_compilation
run_110,law_compilation
run_111,completed
run_112,law_compilation
run_113,completed
run_114,completed
run_115,completed
run_116,completed
run_117,law_compilation
run_118,law_compilation
run_119,completed
run_120,law_compilation
run_201,completed
run_202,completed
run_203,law_compilation
run_204,completed
run_205,completed
run_206,law_compilation
run_207,completed
run_208,completed

score_present
run_id,direct_json_ir_no_translate
run_001,True
run_002,False
run_003,True
run_004,True
run_005,False
run_006,False
run_007,True
run_008,False
run_009,True
run_101,True
run_102,True
run_103,True
run_104,True
run_105,True
run_106,True
run_107,True
run_108,False
run_109,False
run_110,False
run_111,True
run_112,False
run_113,True
run_114,True
run_115,True
run_116,True
run_117,False
run_118,False
run_119,True
run_120,False
run_201,True
run_202,True
run_203,False
run_204,True
run_205,True
run_206,False
run_207,True
run_208,True

missing_score_reason
run_id,direct_json_ir_no_translate
run_001,
run_002,law_compilation_failed
run_003,
run_004,
run_005,law_compilation_failed
run_006,main_exited_before_scoring
run_007,
run_008,law_compilation_failed
run_009,
run_101,
run_102,
run_103,
run_104,
run_105,
run_106,
run_107,
run_108,law_compilation_failed
run_109,law_compilation_failed
run_110,law_compilation_failed
run_111,
run_112,law_compilation_failed
run_113,
run_114,
run_115,
run_116,
run_117,law_compilation_failed
run_118,law_compilation_failed
run_119,
run_120,law_compilation_failed
run_201,
run_202,
run_203,law_compilation_failed
run_204,
run_205,
run_206,law_compilation_failed
run_207,
run_208,
